what,improvement_direction,date,value,recalc_here,comment,baseline_duration,target
KPI-309 Number of Clients Seen in Month - North,increase,31/05/2021,14,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/06/2021,12,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/07/2021,16,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/08/2021,17,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/09/2021,12,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/10/2021,27,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/11/2021,13,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/12/2021,14,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/01/2022,18,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,28/02/2022,25,y,Remodelled system,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/03/2022,32,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/04/2022,44,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/05/2022,37,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/06/2022,39,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/07/2022,41,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/08/2022,45,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/09/2022,42,y,New centre opened,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/10/2022,12,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/11/2022,31,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/12/2022,32,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/01/2023,39,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,28/02/2023,49,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/03/2023,51,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,30/04/2023,53,,,,30
KPI-309 Number of Clients Seen in Month - North,increase,31/05/2023,58,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/05/2021,33,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,30/06/2021,46,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/07/2021,29,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/08/2021,45,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,30/09/2021,55,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/10/2021,24,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,30/11/2021,24,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/12/2021,47,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/01/2022,47,,,,30
KPI-309 Number of Clients Seen in Month - South,increase,28/02/2022,53,y,Remodelled system,,30
KPI-309 Number of Clients Seen in Month - South,increase,31/03/2022,17,,,,30
